Assignment,Backfill,Category Description,Rank,Request Date (Month / Year),ID,Paid Hours,Work Hours
BSD: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,November 2021,"13,362",4.266,4.366
BSD: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,December 2021,"13,363",2.415,2.415
BSD: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT II,November 2021,"13,364",4.5,4.5
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,November 2021,"13,830",3.79,4.04
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,January 2022,"13,831",2.693333333,2.693333333
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,February 2022,"13,832",2.25,2.25
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,November 2021,"13,833",3,3
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,December 2021,"13,834",3.75,3.75
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,January 2022,"13,835",0.916666667,0.916666667
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,February 2022,"13,836",0.55,0.55
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,Administrative Specialist II,January 2022,"13,837",2.625,2.625
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,OFFICER,February 2022,"13,838",1,1
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,December 2021,"13,839",3,3
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,January 2022,"13,840",2.35,2.35
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,February 2022,"13,841",7,7
BSG: SHIFT A,No,,ACCOUNTANT II,March 2020,1,1.2,1.2
BSG: SHIFT A,No,,PASS,March 2020,11,3.5,3.5
BSG: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,January 2020,"13,365",9,9.5
BSG: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,February 2020,"13,366",6.875,7.125
BSG: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT II,January 2020,"13,367",7.5,8
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,January 2020,"13,842",2.610833333,2.610833333
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,February 2020,"13,843",2.47375,2.59875
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,March 2020,"13,844",2.386363636,2.405454545
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,April 2020,"13,845",2.816428571,2.887857143
