Block Address,Incident Number,Neighborhood,Occur 2hr Time,Occur Month,Occur Year,Occurence Date,Person Injury,Precinct,Open Data Latitude,Open Data Longitude,CasingsRecovered,X,Y
,19-0097,,1000 - 1200,3,2019,3/30/2019,True,North,0,0,0,0,0
,19-0207,,2200 - 2400,7,2019,7/8/2019,True,East,0,0,0,0,0
,19-0281,,0000 - 0200,9,2019,9/1/2019,True,North,0,0,0,0,0
,19-0378,,1200 - 1400,11,2019,11/21/2019,True,East,0,0,1,0,0
,20-0003,,0000 - 0200,1,2020,1/1/2020,True,Central,0,0,0,0,0
,20-0100,,0000 - 0200,3,2020,3/7/2020,True,North,0,0,0,0,0
,20-0110,,1200 - 1400,3,2020,3/18/2020,False,North,0,0,2,0,0
,20-0229,,1600 - 1800,6,2020,6/5/2020,False,East,0,0,0,0,0
,20-0282,,1200 - 1400,7,2020,7/2/2020,False,Central,0,0,4,0,0
,20-0306,,2000 - 2200,7,2020,7/7/2020,True,North,0,0,0,0,0
,20-0318,,1800 - 2000,6,2020,6/24/2020,False,North,0,0,0,0,0
,20-0411,,2200 - 2400,8,2020,8/9/2020,True,Outside Jurisdiction,0,0,0,0,0
,20-0413,,2000 - 2200,8,2020,8/6/2020,False,East,0,0,0,0,0
,20-0414,,2000 - 2200,8,2020,8/6/2020,False,East,0,0,0,0,0
,20-0482,,0200 - 0400,8,2020,8/29/2020,False,North,0,0,7,0,0
,20-0499,,0000 - 0200,9,2020,9/1/2020,False,East,0,0,36,0,0
,20-0501,,0000 - 0200,8,2020,8/28/2020,True,East,0,0,0,0,0
,20-0536,,0000 - 0200,9,2020,9/9/2020,True,East,0,0,0,0,0
,20-0581,,2200 - 2400,8,2020,8/29/2020,False,North,0,0,0,0,0
,20-0620,,2000 - 2200,9,2020,9/30/2020,True,Central,0,0,0,0,0
,20-0626,,2000 - 2200,9,2020,9/9/2020,False,East,0,0,0,0,0
,20-0721,,2000 - 2200,11,2020,11/1/2020,True,North,0,0,0,0,0
,20-0739,,1600 - 1800,11,2020,11/7/2020,True,Central,0,0,0,0,0
,20-0762,,0200 - 0400,11,2020,11/13/2020,True,North,0,0,0,0,0
,20-0809,,0400 - 0600,11,2020,11/30/2020,True,East,0,0,0,0,0
,20-0909,,0000 - 0200,12,2020,12/27/2020,True,East,0,0,0,0,0
