Bias Category,Bias Type,Business as victim,Case Type,Location Type,Open Data Case Number,Primary Offense Type,Report Month/Year,Suspect Age,Suspect Gender,Suspect Race,Victim Age,Victim Gender,Victim Race,Victim Suspect Relationship
,,,BIAS UNFOUNDED,,6e+2016e+10,,2016-01-01,,,,,,,
,,,BIAS UNFOUNDED,,10717107779,,2017-04-01,,,,,,,
,,,BIAS UNFOUNDED,,10918109015,,2018-04-01,,,,,,,
,,,BIAS UNFOUNDED,,11102011167,,2020-01-01,,,,,,,
,,,BIAS UNFOUNDED,,11319113015,,2019-04-01,,,,,,,
,,,BIAS UNFOUNDED,,11401611466,,2016-01-01,,,,,,,
,,,BIAS UNFOUNDED,,11815118547,,2015-04-01,,,,,,,
,,,BIAS UNFOUNDED,,11817118756,,2017-04-01,,,,,,,
,,,BIAS UNFOUNDED,,12017120510,,2017-04-01,,,,,,,
,,,BIAS UNFOUNDED,,12519125777,,2019-04-01,,,,,,,
,,,BIAS UNFOUNDED,,12601912695,,2019-01-01,,,,,,,
,,,BIAS UNFOUNDED,,12619126485,,2019-04-01,,,,,,,
,,,BIAS UNFOUNDED,,12719127960,,2019-04-01,,,,,,,
,,,BIAS UNFOUNDED,,13817138958,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,14117141110,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,14118141120,,2018-04-01,,,,,,,
,,,BIAS UNFOUNDED,,14217142454,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,14419144289,,2019-05-01,,,,,,,
,,,BIAS UNFOUNDED,,14917149030,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,14919149038,,2019-05-01,,,,,,,
,,,BIAS UNFOUNDED,,15217152540,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,15717157872,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,15901615958,,2016-01-01,,,,,,,
,,,BIAS UNFOUNDED,,16017160273,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,16119161551,,2019-05-01,,,,,,,
,,,BIAS UNFOUNDED,,16219162996,,2019-05-01,,,,,,,
,,,BIAS UNFOUNDED,,16319163965,,2019-05-01,,,,,,,
,,,BIAS UNFOUNDED,,16517165581,,2017-05-01,,,,,,,
,,,BIAS UNFOUNDED,,17017170511,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,17717177901,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,17718177906,,2018-05-01,,,,,,,
,,,BIAS UNFOUNDED,,17915179955,,2015-05-01,,,,,,,
,,,BIAS UNFOUNDED,,18017180175,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18118181963,,2018-05-01,,,,,,,
,,,BIAS UNFOUNDED,,18419184166,,2019-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18519185377,,2019-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18617186965,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18816188555,,2016-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18817188995,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18818188033,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,18818188226,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,19217192689,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,19519195074,,2019-06-01,,,,,,,
,,,BIAS UNFOUNDED,,19519195861,,2019-06-01,,,,,,,
,,,BIAS UNFOUNDED,,19718197848,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,19815198134,,2015-06-01,,,,,,,
,,,BIAS UNFOUNDED,,20118201513,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,20218202037,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,20317203209,,2017-06-01,,,,,,,
,,,BIAS UNFOUNDED,,20418204225,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,20619206615,,2019-06-01,,,,,,,
,,,BIAS UNFOUNDED,,20918209059,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,21218212462,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,21402021474,,2020-01-01,,,,,,,
,,,BIAS UNFOUNDED,,21518215635,,2018-06-01,,,,,,,
,,,BIAS UNFOUNDED,,21717217241,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,21917219320,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,22317223457,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,22419224942,,2019-07-01,,,,,,,
,,,BIAS UNFOUNDED,,22717227035,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,23119231821,,2019-07-01,,,,,,,
,,,BIAS UNFOUNDED,,23317233248,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,23319233697,,2019-07-01,,,,,,,
,,,BIAS UNFOUNDED,,23417234141,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,23817238391,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,23818238391,,2018-07-01,,,,,,,
,,,BIAS UNFOUNDED,,24001724003,,2017-01-01,,,,,,,
,,,BIAS UNFOUNDED,,24018240144,,2018-07-01,,,,,,,
,,,BIAS UNFOUNDED,,24119241656,,2019-07-01,,,,,,,
,,,BIAS UNFOUNDED,,24217242566,,2017-07-01,,,,,,,
,,,BIAS UNFOUNDED,,24501624566,,2016-01-01,,,,,,,
,,,BIAS UNFOUNDED,,25117251108,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,25317253947,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,25517255416,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,25901825938,,2018-01-01,,,,,,,
,,,BIAS UNFOUNDED,,25917259965,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26218262971,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26316263089,,2016-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26418264142,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26418264988,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26616266883,,2016-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26616266965,,2016-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26619266129,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26719267634,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26817268165,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,26819268668,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27118271698,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27119271241,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27318273019,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27318273034,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27517275446,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27619276690,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27715277489,,2015-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27717277159,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27918279826,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,27919279655,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,28318283562,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,28417284256,,2017-08-01,,,,,,,
,,,BIAS UNFOUNDED,,28618286281,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,28917289368,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,28918289851,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,29019290986,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,29118291816,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,29218292137,,2018-08-01,,,,,,,
,,,BIAS UNFOUNDED,,29517295017,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,29601729642,,2017-01-01,,,,,,,
,,,BIAS UNFOUNDED,,29719297339,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,29915299930,,2015-08-01,,,,,,,
,,,BIAS UNFOUNDED,,29918299147,,2018-09-01,,,,,,,
,,,BIAS UNFOUNDED,,30016300449,,2016-09-01,,,,,,,
,,,BIAS UNFOUNDED,,30016300637,,2016-09-01,,,,,,,
,,,BIAS UNFOUNDED,,30019300239,,2019-08-01,,,,,,,
,,,BIAS UNFOUNDED,,30119301411,,2019-09-01,,,,,,,
,,,BIAS UNFOUNDED,,30617306597,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,30817308931,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,30819308416,,2019-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31018310178,,2018-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31317313800,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31417314586,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31617316816,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31619316796,,2019-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31818318368,,2018-09-01,,,,,,,
,,,BIAS UNFOUNDED,,31901931907,,2019-01-01,,,,,,,
,,,BIAS UNFOUNDED,,32117321962,,2017-09-01,,,,,,,
,,,BIAS UNFOUNDED,,32118321908,,2018-09-01,,,,,,,
,,,BIAS UNFOUNDED,,32417324386,,2017-10-01,,,,,,,
