Assignment,Backfill,Category Description,Rank,Request Date (Month / Year),ID,Paid Hours,Work Hours
BSD: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,2021-11-01,13362,4.27,4.37
BSD: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,2021-12-01,13363,2.42,2.42
BSD: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT II,2021-11-01,13364,4.50,4.50
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2021-11-01,13830,3.79,4.04
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2022-01-01,13831,2.69,2.69
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2022-02-01,13832,2.25,2.25
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2021-11-01,13833,3.00,3.00
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2021-12-01,13834,3.75,3.75
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2022-01-01,13835,0.92,0.92
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2022-02-01,13836,0.55,0.55
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,Administrative Specialist II,2022-01-01,13837,2.63,2.63
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,OFFICER,2022-02-01,13838,1.00,1.00
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,2021-12-01,13839,3.00,3.00
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,2022-01-01,13840,2.35,2.35
BSD: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,2022-02-01,13841,7.00,7.00
BSG: SHIFT A,No,,ACCOUNTANT II,2020-03-01,1,1.20,1.20
BSG: SHIFT A,No,,PASS,2020-03-01,11,3.50,3.50
BSG: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,2020-01-01,13365,9.00,9.50
BSG: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT I,2020-02-01,13366,6.88,7.13
BSG: SHIFT A,No,06 - PAYROLL DOE,ACCOUNTANT II,2020-01-01,13367,7.50,8.00
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2020-01-01,13842,2.61,2.61
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2020-02-01,13843,2.47,2.60
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2020-03-01,13844,2.39,2.41
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2020-04-01,13845,2.82,2.89
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT I,2020-05-01,13846,1.00,1.00
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2020-01-01,13847,1.86,1.86
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2020-02-01,13848,0.42,0.42
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2020-03-01,13849,0.94,0.94
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2020-04-01,13850,1.42,1.42
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,ACCOUNTANT II,2020-05-01,13851,0.82,0.82
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,Administrative Specialist II,2019-10-01,13852,6.00,6.00
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,Administrative Specialist II,2020-01-01,13853,6.00,6.00
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,Administrative Specialist II,2020-02-01,13854,6.00,6.00
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,Manager I,2020-06-01,13855,3.58,3.58
BSG: SHIFT A,No,07 - SPECIAL TRACKING - FUNDED,PASS,2021-08-01,13856,5.00,5.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,ACCOUNTANT I,2020-06-01,20801,4.58,4.58
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,ACCOUNTANT II,2020-06-01,20802,5.21,5.25
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,ACCOUNTANT II,2020-10-01,20803,1.50,1.50
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Accounting Supervisor,2020-06-01,20804,2.68,2.68
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Administrative Specialist II,2020-05-01,20805,11.75,11.75
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Administrative Specialist II,2020-06-01,20806,7.50,7.50
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Administrative Specialist II,2021-04-01,20807,5.58,5.58
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Analyst I,2020-05-01,20808,5.00,5.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Analyst III,2020-06-01,20809,4.39,4.39
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,AUTO SERVICER,2020-09-01,20810,1.00,1.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Coordinator II,2020-05-01,20811,6.92,6.92
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Coordinator II,2020-06-01,20812,4.50,4.50
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Manager I,2020-05-01,20813,12.00,12.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Manager I,2020-06-01,20814,7.00,7.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Manager I,2021-04-01,20815,5.00,5.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Manager III,2020-05-01,20816,2.00,2.00
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,Manager III,2020-06-01,20817,4.70,4.70
BSG: SHIFT A,No,08 - SPECIAL TRACKING - UNFUNDED,PASS,2020-05-01,20818,8.50,8.50
BSG: SHIFT A,Yes,,Analyst I,2020-03-01,2,5.00,5.00
BSG: SHIFT A,Yes,,Analyst I,2020-04-01,3,7.00,7.00
BSG: SHIFT A,Yes,,Analyst II,2020-03-01,4,1.33,1.33
BSG: SHIFT A,Yes,,Manager I,2020-03-01,5,3.86,3.86
BSG: SHIFT A,Yes,,Manager I,2020-04-01,6,4.29,4.29
BSG: SHIFT A,Yes,,Manager I,2020-06-01,7,2.25,2.25
BSG: SHIFT A,Yes,,Manager I,2020-07-01,8,6.50,6.50
BSG: SHIFT A,Yes,,Manager III,2020-03-01,9,10.50,10.50
BSG: SHIFT A,Yes,,Manager III,2020-04-01,10,4.67,4.67
CENTRAL: ADMIN,No,,,2018-11-01,12,6.25,6.25
CENTRAL: ADMIN,No,,AUTO SERVICER,2020-04-01,13,6.00,6.00
CENTRAL: ADMIN,No,,DESK CLERK,2020-03-01,14,10.00,10.40
CENTRAL: ADMIN,No,,DESK CLERK,2020-05-01,15,10.00,10.50
CENTRAL: ADMIN,No,,DESK CLERK,2021-11-01,16,1.00,1.00
CENTRAL: ADMIN,No,,DESK CLERK,2021-12-01,17,1.50,1.50
CENTRAL: ADMIN,No,,OFFICER,2021-05-01,18,7.00,7.00
CENTRAL: ADMIN,No,,PASS SENIOR,2020-02-01,19,6.50,7.00
CENTRAL: ADMIN,No,,PASS SENIOR,2020-03-01,20,6.00,6.25
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2017-07-01,1178,4.50,1.96
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2017-08-01,1179,5.00,0.50
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2017-09-01,1180,4.00,0.23
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2018-04-01,1181,4.00,0.15
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2018-05-01,1182,1.00,1.50
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2018-08-01,1183,3.80,3.39
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2018-10-01,1184,4.00,3.26
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2018-11-01,1185,4.00,1.23
CENTRAL: ADMIN,No,01 - COURT CATEGORY,,2018-12-01,1186,3.00,1.00
