Block Address,Incident Number,Neighborhood,Occur 2hr Time,Occur Month,Occur Year,Occurence Date,Person Injury,Precinct,Open Data Latitude,Open Data Longitude,CasingsRecovered,X,Y
,19-0097,,1000 - 1200,3,2019,2019-03-30,TRUE,North,0,0,0,0,0
,19-0207,,2200 - 2400,7,2019,2019-07-08,TRUE,East,0,0,0,0,0
,19-0281,,0000 - 0200,9,2019,2019-09-01,TRUE,North,0,0,0,0,0
,19-0378,,1200 - 1400,11,2019,2019-11-21,TRUE,East,0,0,1,0,0
,20-0003,,0000 - 0200,1,2020,2020-01-01,TRUE,Central,0,0,0,0,0
,20-0100,,0000 - 0200,3,2020,2020-03-07,TRUE,North,0,0,0,0,0
,20-0110,,1200 - 1400,3,2020,2020-03-18,FALSE,North,0,0,2,0,0
,20-0229,,1600 - 1800,6,2020,2020-06-05,FALSE,East,0,0,0,0,0
,20-0282,,1200 - 1400,7,2020,2020-07-02,FALSE,Central,0,0,4,0,0
,20-0306,,2000 - 2200,7,2020,2020-07-07,TRUE,North,0,0,0,0,0
,20-0318,,1800 - 2000,6,2020,2020-06-24,FALSE,North,0,0,0,0,0
,20-0411,,2200 - 2400,8,2020,2020-08-09,TRUE,Outside Jurisdiction,0,0,0,0,0
,20-0413,,2000 - 2200,8,2020,2020-08-06,FALSE,East,0,0,0,0,0
,20-0414,,2000 - 2200,8,2020,2020-08-06,FALSE,East,0,0,0,0,0
,20-0482,,0200 - 0400,8,2020,2020-08-29,FALSE,North,0,0,7,0,0
,20-0499,,0000 - 0200,9,2020,2020-09-01,FALSE,East,0,0,36,0,0
,20-0501,,0000 - 0200,8,2020,2020-08-28,TRUE,East,0,0,0,0,0
,20-0536,,0000 - 0200,9,2020,2020-09-09,TRUE,East,0,0,0,0,0
,20-0581,,2200 - 2400,8,2020,2020-08-29,FALSE,North,0,0,0,0,0
,20-0620,,2000 - 2200,9,2020,2020-09-30,TRUE,Central,0,0,0,0,0
,20-0626,,2000 - 2200,9,2020,2020-09-09,FALSE,East,0,0,0,0,0
,20-0721,,2000 - 2200,11,2020,2020-11-01,TRUE,North,0,0,0,0,0
,20-0739,,1600 - 1800,11,2020,2020-11-07,TRUE,Central,0,0,0,0,0
,20-0762,,0200 - 0400,11,2020,2020-11-13,TRUE,North,0,0,0,0,0
,20-0809,,0400 - 0600,11,2020,2020-11-30,TRUE,East,0,0,0,0,0
,20-0909,,0000 - 0200,12,2020,2020-12-27,TRUE,East,0,0,0,0,0
,20-0934,,2200 - 2400,8,2020,2020-08-28,TRUE,North,0,0,0,0,0
,20-0955,,1200 - 1400,7,2020,2020-07-29,TRUE,Outside Jurisdiction,0,0,0,0,0
