Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Record Count,Record Count,Month-Year
,,Arrest-Felony,SUN,,,,CEW,CEW,CEW,,,,,,-,Stolen Vehicle,VEHICLE RECOVERED,,,,No weapon (unarmed),212461,East Precinct,9,,675518304,500540,White,Male,Yes,40,501000000000000,Active,Active,Active,,,,,,Dispatched,,Yes,,1,1,Aug-17
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,,,836731,East Precinct,2,,477518302,466101,Black,Male,No,28,466000000000000,Active,,,,,,,,Self-Initiated,Yes,,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,,,649511,East Precinct,8,,477518302,466101,Black,Male,No,28,466000000000000,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - PRIORITY,,,,,798721,East Precinct,5,,357518041,614942,White,Male,No,25,615000000000000,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,,No weapon (unarmed),1053550,East Precinct,16,,19518308,371478,White,Male,Yes,32,37100000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Aug-17
,,Arrest-Felony,SUN,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,Unclear,,No weapon (unarmed),1087651,East Precinct,6,,343517861,414626,Black,Male,Yes,33,415000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,Less Lethal,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,,,797721,East Precinct,5,,744517765,557140,Hispanic,Male,No,25,557000000000000,Aggressive,,,,,,,,Dispatched,Yes,No,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,,,213461,East Precinct,2,,744517765,557140,Hispanic,Male,No,25,557000000000000,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,PFA,PFA,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,,,1102751,East Precinct,4,,744517765,557140,Hispanic,Male,No,25,557000000000000,Aggressive,Aggressive,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),806220,North Precinct,11,,176517949,381478,White,Male,Yes,39,381000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),1062150,North Precinct,11,,176517949,381478,White,Male,Yes,39,381000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,,,214861,Central Precinct,0,,511517772,535640,White,Male,Yes,35,536000000000000,Active,,,,,,,,Self-Initiated,Yes,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,,,148661,Central Precinct,6,,511517772,535640,White,Male,Yes,35,536000000000000,Active,,,,,,,,Self-Initiated,Yes,,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,,,920631,Central Precinct,6,,511517772,535640,White,Male,Yes,35,536000000000000,Aggressive,,,,,,,,Self-Initiated,Yes,,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,Firearm - Implied,,CEW,Takedown,CEW,,,,,,-,Warrant,WARRANT,,,,,166661,North Precinct,6,,243518080,515811,Black,Male,No,26,516000000000000,Active,Active,Active,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Arrest-Misdemeanor,SUN,,Firearm - Implied,,Takedown,CHWI,Takedown,,,,,,-,Warrant,WARRANT,,,,,243671,North Precinct,6,,243518080,515811,Black,Male,No,26,516000000000000,Active,Active,Active,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Arrest-Warrant,SUN,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,No,,No weapon (unarmed),326279,Central Precinct,10,,359518221,601059,White,Male,Yes,30,601000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Aug-17
,,Arrest-Warrant,SUN,,,,PFA,,,,,,,,-,Warrant,WARRANT,,No,,No weapon (unarmed),172561,East Precinct,7,,728517765,548041,White,Male,No,25,548000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Warrant,SUN,,,,Takedown,,,,,,,,-,Other,DETAIL,,No,,No weapon (unarmed),276671,Central Precinct,7,,481518122,413207,White,Male,No,23,413000000000000,Active,,,,,,,,Self-Initiated,Yes,,,1,1,Jul-17
,,Detained and Released,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,,,836731,East Precinct,2,,477518302,435380,White,Female,No,24,435000000000000,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Detained and Released,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,,,649511,East Precinct,8,,477518302,435380,White,Female,No,24,435000000000000,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Release to Medical,SUN,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,Yes,,No weapon (unarmed),808220,North Precinct,11,,153517949,275848,Black,Female,No,27,276000000000000,Aggressive,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,MON,,,,K9,,,,,,,,-,Assist,ASSIST - CITIZEN OR AGENCY,,,,No weapon (unarmed),880630,K9,16,,889518046,457547,White,Male,No,59,458000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,MON,,,,Takedown,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,,No weapon (unarmed),1056551,Central Precinct,2,,520518313,590225,White,Male,No,40,590000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Aug-17
,,Arrest-Misdemeanor,MON,,,,PFA,,,,,,,,-,Threat,THREAT - PRIORITY,,,,,650810,Central Precinct,14,,146518049,3696548,Black,Male,No,26,3700000000000000,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,MON,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),501691,North Precinct,6,,672518314,420924,White,Male,No,20,421000000000000,Active,,,,,,,,Dispatched,,,,1,1,Aug-17
,,Arrest-Misdemeanor,MON,,,,Takedown,Strikes/kicks,,,,,,,-,Threat,THREAT - PRIORITY,,,,No weapon (unarmed),1010941,Central Precinct,3,,757518045,3822814,Black,Female,Yes,36,3820000000000000,Aggressive,Active,,,,,,,Dispatched,,,,1,1,Aug-17
